humidity,temperature,distance,sound_pressure_level
24,1,2000,63.276
24,1,2500,60.255
25,1,500,81.319
25,1,1000,72.446
25,1,1500,67.244
25,1,2000,63.467
25,1,2500,60.462
26,1,500,81.369
26,1,1000,72.570
26,1,1500,67.400
26,1,2000,63.646
26,1,2500,60.657
27,1,500,81.418
27,1,1000,72.688
27,1,1500,67.548
27,1,2000,63.814
27,1,2500,60.840
28,1,500,81.467
28,1,1000,72.800
28,1,1500,67.687
28,1,2000,63.973
28,1,2500,61.014
29,1,500,81.515
29,1,1000,72.907
29,1,1500,67.819
29,1,2000,64.122
29,1,2500,61.177
30,1,500,81.562
30,1,1000,73.008
30,1,1500,67.943
30,1,2000,64.263
30,1,2500,61.331
31,1,500,81.608
31,1,1000,73.105
31,1,1500,68.062
31,1,2000,64.397
31,1,2500,61.477
32,1,500,81.653
32,1,1000,73.197
32,1,1500,68.174
32,1,2000,64.523
32,1,2500,61.615
33,1,500,81.696
33,1,1000,73.284
33,1,1500,68.281
33,1,2000,64.642
33,1,2500,61.745
34,1,500,81.737
34,1,1000,73.368
34,1,1500,68.383
34,1,2000,64.756
34,1,2500,61.868
35,1,500,81.778
35,1,1000,73.448
35,1,1500,68.480
35,1,2000,64.864
35,1,2500,61.985
36,1,500,81.817
36,1,1000,73.524
36,1,1500,68.573
36,1,2000,64.966
36,1,2500,62.096
37,1,500,81.854
37,1,1000,73.597
37,1,1500,68.661
37,1,2000,65.064
37,1,2500,62.201
38,1,500,81.891
38,1,1000,73.666
38,1,1500,68.746
38,1,2000,65.157
38,1,2500,62.301
39,1,500,81.926
39,1,1000,73.733
39,1,1500,68.827
39,1,2000,65.246
39,1,2500,62.397
40,1,500,81.960
40,1,1000,73.797
40,1,1500,68.905
40,1,2000,65.331
40,1,2500,62.488
41,1,500,81.993
41,1,1000,73.858
41,1,1500,68.979
41,1,2000,65.413
41,1,2500,62.574
42,1,500,82.024
42,1,1000,73.916
42,1,1500,69.050
42,1,2000,65.491
42,1,2500,62.657
43,1,500,82.055
43,1,1000,73.972
43,1,1500,69.118
43,1,2000,65.565
43,1,2500,62.736
44,1,500,82.085
44,1,1000,74.025
44,1,1500,69.184
44,1,2000,65.637
44,1,2500,62.812
45,1,500,82.113
45,1,1000,74.077
45,1,1500,69.246
45,1,2000,65.706
45,1,2500,62.885
46,1,500,82.141
46,1,1000,74.126
46,1,1500,69.307
46,1,2000,65.772
46,1,2500,62.954
47,1,500,82.167
47,1,1000,74.174
47,1,1500,69.364
47,1,2000,65.835
47,1,2500,63.021
